,year,player
840,1990,A.C. Green
1085,1980,Adrian Dantley
1064,1981,Adrian Dantley
1040,1982,Adrian Dantley
991,1984,Adrian Dantley
966,1985,Adrian Dantley
944,1986,Adrian Dantley
1442,1966,Adrian Smith
365,2010,Al Horford
337,2011,Al Horford
238,2015,Al Horford
209,2016,Al Horford
158,2018,Al Horford
1055,1982,Alex English
1028,1983,Alex English
1006,1984,Alex English
979,1985,Alex English
955,1986,Alex English
930,1987,Alex English
905,1988,Alex English
881,1989,Alex English
1764,1951,Alex Groza
624,2000,Allan Houston
600,2001,Allan Houston
601,2000,Allen Iverson
573,2001,Allen Iverson
547,2002,Allen Iverson
522,2003,Allen Iverson
498,2004,Allen Iverson
474,2005,Allen Iverson
449,2006,Allen Iverson
420,2007,Allen Iverson
394,2008,Allen Iverson
368,2009,Allen Iverson
340,2010,Allen Iverson
744,1994,Alonzo Mourning
719,1995,Alonzo Mourning
692,1996,Alonzo Mourning
668,1997,Alonzo Mourning
620,2000,Alonzo Mourning
593,2001,Alonzo Mourning
564,2002,Alonzo Mourning
1193,1976,Alvan Adams
948,1986,Alvin Robertson
924,1987,Alvin Robertson
896,1988,Alvin Robertson
819,1991,Alvin Robertson
484,2005,Amar'e Stoudemire
430,2007,Amar'e Stoudemire
404,2008,Amar'e Stoudemire
378,2009,Amar'e Stoudemire
350,2010,Amar'e Stoudemire
323,2011,Amar'e Stoudemire
204,2016,Andre Drummond
155,2018,Andre Drummond
290,2012,Andre Iguodala
516,2004,Andrei Kirilenko
310,2012,Andrew Bynum
1022,1983,Andrew Toney
997,1984,Andrew Toney
52,2022,Andrew Wiggins
1768,1951,Andy Phillip
1749,1952,Andy Phillip
1726,1953,Andy Phillip
1705,1954,Andy Phillip
1683,1955,Andy Phillip
713,1995,Anfernee Hardaway
687,1996,Anfernee Hardaway
662,1997,Anfernee Hardaway
634,1998,Anfernee Hardaway
488,2005,Antawn Jamison
407,2008,Antawn Jamison
253,2014,Anthony Davis
227,2015,Anthony Davis
197,2016,Anthony Davis
174,2017,Anthony Davis
148,2018,Anthony Davis
120,2019,Anthony Davis
93,2020,Anthony Davis
69,2021,Anthony Davis
1,2023,Anthony Edwards
587,2001,Anthony Mason
645,1998,Antoine Walker
571,2002,Antoine Walker
546,2003,Antoine Walker
598,2001,Antonio Davis
599,2001,Antonio McDyess
1393,1968,Archie Clark
1289,1972,Archie Clark
1744,1952,Arnie Risen
1723,1953,Arnie Risen
1701,1954,Arnie Risen
1676,1955,Arnie Risen
1146,1978,Artis Gilmore
1121,1979,Artis Gilmore
1075,1981,Artis Gilmore
1049,1982,Artis Gilmore
1026,1983,Artis Gilmore
952,1986,Artis Gilmore
1231,1974,Austin Carr
745,1994,B.J. Armstrong
1559,1961,Bailey Howell
1536,1962,Bailey Howell
1511,1963,Bailey Howell
1488,1964,Bailey Howell
1447,1966,Bailey Howell
1427,1967,Bailey Howell
96,2020,Bam Adebayo
17,2023,Bam Adebayo
572,2002,Baron Davis
520,2004,Baron Davis
113,2019,Ben Simmons
86,2020,Ben Simmons
64,2021,Ben Simmons
535,2003,Ben Wallace
507,2004,Ben Wallace
489,2005,Ben Wallace
460,2006,Ben Wallace
1053,1982,Bernard King
1004,1984,Bernard King
978,1985,Bernard King
830,1991,Bernard King
1257,1973,Bill Bradley
1410,1967,Bill Bridges
1386,1968,Bill Bridges
1336,1970,Bill Bridges
1094,1980,Bill Cartwright
1710,1953,Bill Gabor
1013,1983,Bill Laimbeer
986,1984,Bill Laimbeer
962,1985,Bill Laimbeer
913,1987,Bill Laimbeer
1616,1958,Bill Russell
1597,1959,Bill Russell
1576,1960,Bill Russell
1554,1961,Bill Russell
1530,1962,Bill Russell
1504,1963,Bill Russell
1483,1964,Bill Russell
1463,1965,Bill Russell
1443,1966,Bill Russell
1423,1967,Bill Russell
1402,1968,Bill Russell
1376,1969,Bill Russell
1709,1953,Bill Sharman
1688,1954,Bill Sharman
1666,1955,Bill Sharman
1647,1956,Bill Sharman
1624,1957,Bill Sharman
1604,1958,Bill Sharman
1585,1959,Bill Sharman
1563,1960,Bill Sharman
1165,1977,Bill Walton
1140,1978,Bill Walton
1364,1969,Billy Cunningham
1340,1970,Billy Cunningham
1313,1971,Billy Cunningham
1284,1972,Billy Cunningham
1154,1977,Billy Knight
1129,1978,Billy Knight
332,2011,Blake Griffin
306,2012,Blake Griffin
281,2013,Blake Griffin
258,2014,Blake Griffin
230,2015,Blake Griffin
124,2019,Blake Griffin
1394,1968,Bob Boozer
1754,1951,Bob Cousy
1734,1952,Bob Cousy
1715,1953,Bob Cousy
1692,1954,Bob Cousy
1668,1955,Bob Cousy
1650,1956,Bob Cousy
1627,1957,Bob Cousy
1606,1958,Bob Cousy
1587,1959,Bob Cousy
1567,1960,Bob Cousy
1544,1961,Bob Cousy
1518,1962,Bob Cousy
1492,1963,Bob Cousy
1266,1973,Bob Dandridge
1212,1975,Bob Dandridge
1188,1976,Bob Dandridge
1119,1979,Bob Dandridge
1751,1951,Bob Davies
1732,1952,Bob Davies
1714,1953,Bob Davies
1690,1954,Bob Davies
1644,1956,Bob Harrison
1307,1971,Bob Kauffman
1279,1972,Bob Kauffman
1249,1973,Bob Kauffman
1281,1972,Bob Lanier
1253,1973,Bob Lanier
1224,1974,Bob Lanier
1201,1975,Bob Lanier
1156,1977,Bob Lanier
1131,1978,Bob Lanier
1107,1979,Bob Lanier
1035,1982,Bob Lanier
1334,1971,Bob Love
1306,1972,Bob Love
1278,1973,Bob Love
1230,1974,Bob McAdoo
1204,1975,Bob McAdoo
1179,1976,Bob McAdoo
1159,1977,Bob McAdoo
1134,1978,Bob McAdoo
1679,1955,Bob Pettit
1661,1956,Bob Pettit
1639,1957,Bob Pettit
1617,1958,Bob Pettit
1598,1959,Bob Pettit
1579,1960,Bob Pettit
1557,1961,Bob Pettit
1533,1962,Bob Pettit
1508,1963,Bob Pettit
1486,1964,Bob Pettit
1467,1965,Bob Pettit
1354,1970,Bob Rule
1152,1977,Bobby Jones
1127,1978,Bobby Jones
1057,1981,Bobby Jones
1032,1982,Bobby Jones
1729,1952,Bobby Wanzer
1707,1953,Bobby Wanzer
1686,1954,Bobby Wanzer
1665,1955,Bobby Wanzer
1645,1956,Bobby Wanzer
899,1988,Brad Daugherty
875,1989,Brad Daugherty
824,1991,Brad Daugherty
799,1992,Brad Daugherty
772,1993,Brad Daugherty
543,2003,Brad Miller
513,2004,Brad Miller
145,2018,Bradley Beal
116,2019,Bradley Beal
65,2021,Bradley Beal
82,2020,Brandon Ingram
401,2008,Brandon Roy
375,2009,Brandon Roy
347,2010,Brandon Roy
1180,1976,Brian Winters
1136,1978,Brian Winters
288,2013,Brook Lopez
1036,1982,Buck Williams
1016,1983,Buck Williams
941,1986,Buck Williams
1286,1972,Butch Beard
1122,1979,Calvin Murphy
967,1985,Calvin Natt
1118,1979,Campy Russell
1722,1953,Carl Braun
1700,1954,Carl Braun
1675,1955,Carl Braun
1659,1956,Carl Braun
1638,1957,Carl Braun
439,2007,Carlos Boozer
415,2008,Carlos Boozer
432,2007,Carmelo Anthony
405,2008,Carmelo Anthony
352,2010,Carmelo Anthony
324,2011,Carmelo Anthony
300,2012,Carmelo Anthony
275,2013,Carmelo Anthony
251,2014,Carmelo Anthony
224,2015,Carmelo Anthony
195,2016,Carmelo Anthony
170,2017,Carmelo Anthony
434,2007,Caron Butler
408,2008,Caron Butler
1292,1972,Cazzie Russell
707,1995,Cedric Ceballos
911,1987,Charles Barkley
885,1988,Charles Barkley
861,1989,Charles Barkley
836,1990,Charles Barkley
809,1991,Charles Barkley
783,1992,Charles Barkley
757,1993,Charles Barkley
730,1994,Charles Barkley
706,1995,Charles Barkley
681,1996,Charles Barkley
653,1997,Charles Barkley
727,1994,Charles Oakley
1254,1973,Charlie Scott
1227,1974,Charlie Scott
1202,1975,Charlie Scott
463,2006,Chauncey Billups
437,2007,Chauncey Billups
411,2008,Chauncey Billups
383,2009,Chauncey Billups
359,2010,Chauncey Billups
1471,1964,Chet Walker
1430,1966,Chet Walker
1411,1967,Chet Walker
1337,1970,Chet Walker
1310,1971,Chet Walker
1251,1973,Chet Walker
1225,1974,Chet Walker
458,2006,Chris Bosh
429,2007,Chris Bosh
403,2008,Chris Bosh
377,2009,Chris Bosh
349,2010,Chris Bosh
322,2011,Chris Bosh
297,2012,Chris Bosh
274,2013,Chris Bosh
250,2014,Chris Bosh
221,2015,Chris Bosh
193,2016,Chris Bosh
670,1997,Chris Gatling
357,2010,Chris Kaman
860,1989,Chris Mullin
837,1990,Chris Mullin
810,1991,Chris Mullin
782,1992,Chris Mullin
759,1993,Chris Mullin
416,2008,Chris Paul
386,2009,Chris Paul
362,2010,Chris Paul
335,2011,Chris Paul
309,2012,Chris Paul
284,2013,Chris Paul
261,2014,Chris Paul
233,2015,Chris Paul
205,2016,Chris Paul
101,2020,Chris Paul
76,2021,Chris Paul
47,2022,Chris Paul
656,1997,Chris Webber
609,2000,Chris Webber
579,2001,Chris Webber
553,2002,Chris Webber
528,2003,Chris Webber
665,1997,Christian Laettner
1577,1960,Chuck Noble
1605,1958,Cliff Hagan
1586,1959,Cliff Hagan
1565,1960,Cliff Hagan
1542,1961,Cliff Hagan
1516,1962,Cliff Hagan
747,1994,Clifford Robinson
934,1986,Clyde Drexler
883,1988,Clyde Drexler
858,1989,Clyde Drexler
834,1990,Clyde Drexler
808,1991,Clyde Drexler
779,1992,Clyde Drexler
755,1993,Clyde Drexler
728,1994,Clyde Drexler
679,1996,Clyde Drexler
651,1997,Clyde Drexler
1396,1968,Clyde Lee
1649,1956,Clyde Lovellette
1626,1957,Clyde Lovellette
1566,1960,Clyde Lovellette
1543,1961,Clyde Lovellette
1358,1970,Connie Hawkins
1332,1971,Connie Hawkins
1305,1972,Connie Hawkins
1277,1973,Connie Hawkins
1181,1976,Curtis Rowe
129,2019,D'Angelo Russell
605,2000,Dale Davis
878,1989,Dale Ellis
246,2014,Damian Lillard
218,2015,Damian Lillard
140,2018,Damian Lillard
111,2019,Damian Lillard
88,2020,Damian Lillard
63,2021,Damian Lillard
8,2023,Damian Lillard
1164,1977,Dan Issel
791,1992,Dan Majerle
765,1993,Dan Majerle
712,1995,Dan Majerle
1096,1980,Dan Roundfield
1073,1981,Dan Roundfield
1046,1982,Dan Roundfield
721,1995,Dana Barros
893,1988,Danny Ainge
381,2009,Danny Granger
774,1993,Danny Manning
746,1994,Danny Manning
31,2022,Darius Garland
1412,1967,Darrall Imhoff
1403,1968,Dave Bing
1377,1969,Dave Bing
1325,1971,Dave Bing
1271,1973,Dave Bing
1243,1974,Dave Bing
1217,1975,Dave Bing
1192,1976,Dave Bing
1298,1972,Dave Cowens
1268,1973,Dave Cowens
1241,1974,Dave Cowens
1214,1975,Dave Cowens
1189,1976,Dave Cowens
1167,1977,Dave Cowens
1143,1978,Dave Cowens
1097,1980,Dave Cowens
1438,1966,Dave DeBusschere
1418,1967,Dave DeBusschere
1398,1968,Dave DeBusschere
1350,1970,Dave DeBusschere
1321,1971,Dave DeBusschere
1295,1972,Dave DeBusschere
1264,1973,Dave DeBusschere
1238,1974,Dave DeBusschere
346,2010,David Lee
271,2013,David Lee
846,1990,David Robinson
821,1991,David Robinson
796,1992,David Robinson
770,1993,David Robinson
741,1994,David Robinson
717,1995,David Robinson
690,1996,David Robinson
639,1998,David Robinson
617,2000,David Robinson
590,2001,David Robinson
1175,1977,David Thompson
1148,1978,David Thompson
1125,1979,David Thompson
1029,1983,David Thompson
397,2008,David West
371,2009,David West
18,2023,De'Aaron Fox
176,2017,DeAndre Jordan
241,2014,DeMar DeRozan
186,2016,DeMar DeRozan
162,2017,DeMar DeRozan
134,2018,DeMar DeRozan
30,2022,DeMar DeRozan
3,2023,DeMar DeRozan
214,2015,DeMarcus Cousins
187,2016,DeMarcus Cousins
163,2017,DeMarcus Cousins
135,2018,DeMarcus Cousins
32,2022,Dejounte Murray
1124,1979,Dennis Johnson
1102,1980,Dennis Johnson
1077,1981,Dennis Johnson
