,Player,Year Made,Year in Career
0,A.C. Green,1990,5
1,Adrian Dantley,1980,6
2,Al Horford,2010,3
3,Alex English,1982,8
4,Allan Houston,2000,7
5,Allen Iverson,2000,4
6,Alonzo Mourning,1994,2
7,Alvan Adams,1976,1
8,Alvin Robertson,1986,2
9,Amar'e Stoudemire,2005,3
10,Andre Drummond,2016,4
11,Andre Iguodala,2012,8
12,Andrei Kirilenko,2004,3
13,Andrew Bynum,2012,7
14,Andrew Toney,1983,3
15,Andrew Wiggins,2022,10
16,Anfernee Hardaway,1995,2
17,Antawn Jamison,2005,7
18,Anthony Davis,2014,2
19,Anthony Edwards,2023,3
20,Anthony Mason,2001,11
21,Antoine Walker,1998,2
22,Antonio Davis,2001,8
23,Antonio McDyess,2001,6
24,Artis Gilmore,1978,2
25,B.J. Armstrong,1994,5
26,Bam Adebayo,2020,3
27,Baron Davis,2002,3
28,Ben Simmons,2019,2
29,Ben Wallace,2003,7
30,Bernard King,1982,5
31,Bill Cartwright,1980,1
32,Bill Laimbeer,1983,5
33,Bill Walton,1977,3
34,Billy Knight,1977,1
35,Blake Griffin,2011,1
36,Bobby Jones,1977,1
37,Brad Daugherty,1988,2
38,Brad Miller,2003,7
39,Bradley Beal,2018,6
40,Brandon Ingram,2020,4
41,Brandon Roy,2008,2
42,Brian Winters,1976,2
43,Brook Lopez,2013,5
44,Buck Williams,1982,1
45,Calvin Murphy,1979,9
46,Calvin Natt,1985,8
47,Campy Russell,1979,5
48,Carlos Boozer,2007,5
49,Carmelo Anthony,2007,4
50,Caron Butler,2007,5
51,Cedric Ceballos,1995,5
52,Charles Barkley,1987,3
53,Charles Oakley,1994,9
54,Chauncey Billups,2006,11
55,Chris Bosh,2006,3
56,Chris Gatling,1997,8
57,Chris Kaman,2010,7
58,Chris Mullin,1989,4
59,Chris Paul,2008,3
60,Chris Webber,1997,4
61,Christian Laettner,1997,7
62,Clifford Robinson,1994,5
63,Clyde Drexler,1986,3
64,Curtis Rowe,1976,5
65,D'Angelo Russell,2019,4
66,Dale Davis,2000,9
67,Dale Ellis,1989,6
68,Damian Lillard,2014,2
69,Dan Issel,1977,1
70,Dan Majerle,1992,4
71,Dan Roundfield,1980,4
72,Dana Barros,1995,6
73,Danny Ainge,1988,7
74,Danny Granger,2009,4
75,Danny Manning,1993,5
76,Darius Garland,2022,3
77,David Lee,2010,5
78,David Robinson,1990,1
79,David Thompson,1977,1
80,David West,2008,5
81,De'Aaron Fox,2023,6
82,DeAndre Jordan,2017,9
83,DeMar DeRozan,2014,5
84,DeMarcus Cousins,2015,5
85,Dejounte Murray,2022,5
86,Dennis Johnson,1979,3
87,Dennis Rodman,1990,4
88,Deron Williams,2010,5
89,Derrick Coleman,1994,4
90,Derrick Rose,2010,2
91,Detlef Schrempf,1993,10
92,Devin Booker,2020,5
93,Devin Harris,2009,7
94,Dikembe Mutombo,1992,1
95,Dirk Nowitzki,2002,4
96,Doc Rivers,1988,5
97,Domantas Sabonis,2020,4
98,Dominique Wilkins,1986,4
99,Don Buse,1977,1
100,Donovan Mitchell,2020,3
101,Doug Collins,1976,3
102,Draymond Green,2016,4
103,Dwight Howard,2007,3
104,Dwyane Wade,2005,2
105,Eddie Jones,1997,3
106,Elton Brand,2002,3
107,Lafayette Lever,1988,6
108,Fred Brown,1976,5
109,Fred VanVleet,2022,6
110,Gary Payton,1994,4
111,George Gervin,1977,1
112,George McGinnis,1976,1
113,Gerald Wallace,2010,9
114,Giannis Antetokounmpo,2017,4
115,Gilbert Arenas,2005,4
116,Glen Rice,1996,7
117,Glenn Robinson,2000,6
118,Goran Dragic,2018,14
119,Gordon Hayward,2017,7
120,Grant Hill,1995,1
121,Gus Williams,1982,6
122,Hakeem Olajuwon,1985,1
123,Hersey Hawkins,1991,3
124,Horace Grant,1994,7
125,Isaiah Thomas,2016,7
126,Isiah Thomas,1982,1
127,Ja Morant,2022,3
128,Jack Sikma,1979,2
129,Jamaal Magloire,2004,4
130,Jamaal Wilkes,1976,2
131,Jamal Mashburn,2003,12
132,Jameer Nelson,2009,5
133,James Donaldson,1988,10
134,James Harden,2013,4
135,James Worthy,1986,4
136,Jaren Jackson Jr.,2023,5
137,Jarrett Allen,2022,7
138,Jason Kidd,1996,2
139,Jaylen Brown,2021,5
140,Jayson Tatum,2020,3
141,Jayson Williams,1998,8
142,Jeff Hornacek,1992,6
143,Jeff Malone,1986,3
144,Jeff Ruland,1984,3
145,Jeff Teague,2015,6
146,Jermaine O'Neal,2002,6
147,Jerry Stackhouse,2000,7
148,Jim Paxson,1983,4
149,Jimmy Butler,2015,4
150,Joakim Noah,2013,6
151,Joe Barry Carroll,1987,6
152,Joe Dumars,1990,5
153,Joe Johnson,2007,8
154,Joel Embiid,2018,2
155,John Drew,1976,2
156,John Starks,1994,5
157,John Stockton,1989,5
158,John Wall,2014,4
159,Josh Howard,2007,4
160,Jrue Holiday,2013,4
161,Julius Erving,1977,1
162,Julius Randle,2021,7
163,Juwan Howard,1996,2
164,Karl Malone,1988,3
165,Karl-Anthony Towns,2018,3
166,Kawhi Leonard,2016,5
167,Kelly Tripucka,1982,1
168,Kemba Walker,2017,6
169,Kenny Anderson,1994,3
170,Kenyon Martin,2004,4
171,Kermit Washington,1980,9
172,Kevin Duckworth,1989,5
173,Kevin Durant,2010,3
174,Kevin Garnett,1997,2
175,Kevin Johnson,1990,5
176,Kevin Love,2011,3
177,Kevin McHale,1984,4
178,Kevin Willis,1992,7
179,Khris Middleton,2019,7
180,Kiki Vandeweghe,1983,3
181,Klay Thompson,2015,4
182,Kobe Bryant,1998,2
183,Kristaps Porzingis,2018,3
184,Kyle Korver,2015,14
185,Kyle Lowry,2015,11
186,Kyrie Irving,2013,2
187,LaMarcus Aldridge,2012,6
188,LaMelo Ball,2022,2
189,Larry Bird,1980,1
190,Larry Johnson,1993,2
191,Larry Kenon,1978,2
192,Larry Nance,1985,4
193,Latrell Sprewell,1994,2
194,Lauri Markkanen,2023,6
195,LeBron James,2005,2
196,Lionel Hollins,1978,3
197,Lonnie Shelton,1982,6
198,Luka Doncic,2020,2
199,Luol Deng,2012,8
200,Magic Johnson,1980,1
201,Manu Ginobili,2005,3
202,Marc Gasol,2012,4
203,Mark Aguirre,1984,3
204,Mark Eaton,1989,7
205,Mark Jackson,1989,2
206,Mark Price,1989,3
207,Marques Johnson,1979,2
208,Maurice Cheeks,1983,5
209,Maurice Lucas,1977,1
210,Mehmet Okur,2007,5
211,Metta World Peace,2004,7
212,Michael Adams,1992,7
213,Michael Finley,2000,7
214,Michael Jordan,1985,1
215,Michael Redd,2004,4
216,Micheal Ray Richardson,1980,2
217,Mike Conley,2021,14
218,Mike Mitchell,1981,3
219,Mitch Richmond,1993,5
220,Mo Williams,2009,6
221,Mookie Blaylock,1994,5
222,Moses Malone,1978,4
223,Nick Van Exel,1998,5
224,Nikola Jokic,2019,4
225,Nikola Vucevic,2019,8
226,Norm Nixon,1982,5
227,Otis Birdsong,1979,2
228,Otis Thorpe,1992,8
229,Pascal Siakam,2020,4
230,Patrick Ewing,1986,1
231,Pau Gasol,2006,5
232,Paul George,2013,3
233,Paul Millsap,2014,8
234,Paul Pierce,2002,4
235,Paul Westphal,1977,5
236,Peja Stojakovic,2002,4
237,Phil Smith,1976,2
238,Rajon Rondo,2010,4
239,Ralph Sampson,1984,1
240,Randy Smith,1976,5
241,Rashard Lewis,2005,7
242,Rasheed Wallace,2000,5
243,Ray Allen,2000,4
244,Reggie Lewis,1992,5
245,Reggie Miller,1990,3
246,Reggie Theus,1981,3
247,Richard Hamilton,2006,7
248,Rickey Green,1984,6
249,Ricky Pierce,1991,9
250,Rik Smits,1998,10
251,Robert Parish,1981,5
252,Rolando Blackman,1985,4
253,Roy Hibbert,2012,4
254,Rudy Gobert,2020,7
255,Russell Westbrook,2011,3
256,Sam Cassell,2004,16
257,Scott Wedman,1976,2
258,Scottie Pippen,1990,3
259,Sean Elliott,1993,4
260,Shai Gilgeous-Alexander,2023,5
261,Shaquille O'Neal,1993,1
262,Shareef Abdur-Rahim,2002,6
263,Shawn Kemp,1993,4
264,Shawn Marion,2003,4
265,Sidney Moncrief,1982,3
266,Sleepy Floyd,1987,7
267,Stephen Curry,2014,5
268,Stephon Marbury,2001,7
269,Steve Francis,2002,3
270,Steve Johnson,1988,9
271,Steve Nash,2002,6
272,Steve Smith,1998,9
273,Terrell Brandon,1996,5
274,Terry Cummings,1985,3
275,Terry Porter,1991,6
276,Theo Ratliff,2001,8
277,Tim Duncan,1998,1
278,Tim Hardaway,1991,2
279,Tom Chambers,1987,6
280,Tom Gugliotta,1997,8
281,Tony Parker,2006,5
282,Tracy McGrady,2001,4
283,Trae Young,2020,2
284,Truck Robinson,1978,6
285,Tyrese Haliburton,2023,5
286,Tyrone Hill,1995,5
287,Tyson Chandler,2013,12
288,Victor Oladipo,2018,5
289,Vin Baker,1995,2
290,Vince Carter,2000,2
291,Vlade Divac,2001,12
292,Wally Szczerbiak,2002,3
293,Walter Davis,1978,1
294,World Free,1980,5
295,Xavier McDaniel,1988,3
296,Yao Ming,2003,1
297,Zach LaVine,2021,7
298,Zach Randolph,2010,11
299,Zion Williamson,2021,2
300,Zydrunas Ilgauskas,2003,5
